variant,params,cost3_sharpe,n_trades,avg_leverage,max_leverage,pct_time_in_market,full_strat_cagr,full_strat_sharpe,full_strat_maxdd,full_strat_calmar,full_strat_total,full_bh_cagr,full_bh_sharpe,full_bh_maxdd,full_bh_total,full_excess_cagr,full_excess_total,full_beats_bh_total,full_beats_bh_sharpe,full_beats_bh_dd,pre2013_strat_cagr,pre2013_strat_sharpe,pre2013_strat_maxdd,pre2013_strat_calmar,pre2013_strat_total,pre2013_bh_cagr,pre2013_bh_sharpe,pre2013_bh_maxdd,pre2013_bh_total,pre2013_excess_cagr,pre2013_excess_total,pre2013_beats_bh_total,pre2013_beats_bh_sharpe,pre2013_beats_bh_dd,post2013_strat_cagr,post2013_strat_sharpe,post2013_strat_maxdd,post2013_strat_calmar,post2013_strat_total,post2013_bh_cagr,post2013_bh_sharpe,post2013_bh_maxdd,post2013_bh_total,post2013_excess_cagr,post2013_excess_total,post2013_beats_bh_total,post2013_beats_bh_sharpe,post2013_beats_bh_dd
rerisk_rebalance_i10+overlay_0.5x_ema300_volmult,"{""bull_overlay"": 0.5, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": true, ""rerisk"": true, ""rerisk_inertia"": 0.1}",0.9974845793809659,158,1.154981323361768,3.0,0.7486953883495145,0.1939718807802968,1.028991285002324,-0.2469112947399692,0.785593388850742,45.3328322233073,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.06916436227426037,33.59317615243705,True,True,True,0.1895141147979933,1.0335181780641762,-0.2469112947399692,0.7675392695080115,4.249456683848472,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.061983967662818884,2.1013066056827614,True,True,True,0.19920747666065242,1.0333881542339662,-0.24478664163712538,0.8138004399601182,7.96867585927593,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.07748145480679658,4.965236957104509,True,True,False
overlay_1x_sma300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300}",0.8940081996204003,141,1.386014194118708,3.0,0.7476031553398058,0.19772928721255978,0.9199727716302305,-0.3923965183279907,0.5039017370874955,48.59221214852399,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07292176870652334,36.852556077653745,True,True,True,0.18863423658643375,0.8852348847875166,-0.3923965183279907,0.48072352270149576,4.212473957148229,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.061104089451259336,2.0643238789825182,True,True,False,0.20668381926379964,0.954056441825581,-0.3476938210218471,0.5944420256200434,8.667705655328545,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.0849577974099438,5.664266753157125,True,True,False
rerisk_rebalance_i10+research_overlay_0.75x_absmom252,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 0.75, ""research_overlay_days"": 252, ""research_overlay_mode"": ""abs_mom""}",0.9927850859865865,154,1.2193727948952657,3.0,0.7418082524271845,0.20178147261541346,1.0225815139629226,-0.3022657423538728,0.6675631550041189,52.35200880024299,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07697395410937702,40.612352729372745,True,True,True,0.1883160543825435,0.9730240095567931,-0.3022657423538728,0.6230148772932246,4.199157778566021,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.0607859072473691,2.05100770040031,True,True,True,0.21426537216545416,1.0684541176791638,-0.2864014397399389,0.7481295218348537,9.42729391418306,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09253935031159832,6.42385501201164,True,True,False
rerisk_rebalance_i10+research_overlay_0.75x_absmom300,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 0.75, ""research_overlay_days"": 300, ""research_overlay_mode"": ""abs_mom""}",0.9818553064556911,141,1.2091935353388785,3.0,0.7582524271844661,0.20055199360317943,1.0103066821296762,-0.3600323894080194,0.5570387540213689,51.18343262531827,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.075744475097143,39.44377655444802,True,True,True,0.1881705412163439,0.9593194160442173,-0.3600323894080194,0.5226489247974104,4.193078092867338,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.0606403940811695,2.0449280147016267,True,True,True,0.2121579734840615,1.0578404803702603,-0.30301868598353754,0.7001481535550836,9.210843652120264,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09043195163020568,6.207404749948844,True,True,False
rerisk_pyramid_i25+overlay_1x_sma300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""rerisk"": true, ""rerisk_increase_only"": true, ""rerisk_inertia"": 0.25}",0.9022878286692337,141,1.3917409092041673,3.0,0.7476031553398058,0.2007819986632362,0.9283249308925476,-0.396123729058525,0.5068668800539637,51.400171286114706,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07597448015719976,39.66051521524446,True,True,True,0.18786898843266786,0.8818288135730399,-0.396123729058525,0.4742684536449754,4.180499175153499,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.06033884129749345,2.032349096987788,True,True,False,0.21281763075888627,0.9714981507062839,-0.36388453778566865,0.5848493372483934,9.278149585293075,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09109160890503043,6.274710683121655,True,True,False
rerisk_rebalance_i10+overlay_1x_sma300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""rerisk"": true, ""rerisk_inertia"": 0.1}",0.9414185336188107,141,1.372607233277434,3.0,0.7476031553398058,0.2017317278084758,0.9689411679167382,-0.3875105128877645,0.520583883789764,52.30424750176351,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07692420930243937,40.56459143089327,True,True,True,0.18702607973646823,0.9048605092756171,-0.3875105128877645,0.4826348538075327,4.145482808138254,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.05949593260129382,1.9973327299725434,True,True,False,0.21521916263523133,1.0275166331644108,-0.33205304930651525,0.6481469243685951,9.526633959314625,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.0934931407813755,6.523195057143204,True,True,False
rerisk_pyramid_i10+overlay_1x_sma300,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 300, ""rerisk"": true, ""rerisk_increase_only"": true, ""rerisk_inertia"": 0.1}",0.895872312474896,141,1.3980129279415987,3.0,0.7476031553398058,0.199895847415142,0.9220611084871319,-0.39283055840802084,0.5088602277410313,50.569820985791765,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07508832890910555,38.830164914921525,True,True,True,0.186765250375726,0.8754130603158777,-0.39283055840802084,0.4754346279286622,4.134690372409123,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.05923510324055159,1.986540294243412,True,True,False,0.2121056412215827,0.965270206884034,-0.36388453778567154,0.5828927013835175,9.205521449783067,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09037961936772687,6.202082547611647,True,True,False
rerisk_rebalance_i10+research_overlay_0.75x_ema64_256,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 0.75, ""research_overlay_fast_days"": 64, ""research_overlay_mode"": ""ema_cross"", ""research_overlay_slow_days"": 256}",0.9833814723164332,59,1.1894640742586065,3.0,0.7922936893203884,0.19835431375331747,1.0050843663022953,-0.3355124710033397,0.5911980355309745,49.15517794917216,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.07354679524728103,37.41552187830192,True,True,True,0.1809486261647495,0.9390517345008584,-0.3355124710033397,0.5393201201243822,3.8992188753275396,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.05341847902957508,1.7510687971618286,True,True,True,0.21402718762325978,1.0637543304500579,-0.30190940219773166,0.7089119651963851,9.402620846234393,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.09230116576940395,6.399181944062973,True,True,False
rerisk_rebalance_i25+overlay_0.5x_ema300,"{""bull_overlay"": 0.5, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_inertia"": 0.25}",0.9678850360418972,152,1.0447605725089553,3.0,0.777245145631068,0.19084427749994926,0.9969451013339788,-0.2739124157982412,0.6967346731756825,42.77660576492296,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.06603675899391281,31.03694969405272,True,True,True,0.1792417815614733,0.9925468811043675,-0.263460591447661,0.6803362149024911,3.8319813415972446,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.05171163442629889,1.6838312634315336,True,True,True,0.2018038029281659,1.0090133901851395,-0.2739124157982412,0.7367457307112754,8.205993692807674,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.08007778107431007,5.2025547906362535,True,True,False
rerisk_rebalance_i10+research_overlay_0.5x_ema50_200,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 0.5, ""research_overlay_fast_days"": 50, ""research_overlay_mode"": ""ema_cross"", ""research_overlay_slow_days"": 200}",1.0077853093841553,58,1.0353957791372514,3.0,0.780370145631068,0.19108144561867602,1.032785580941243,-0.24942641083376949,0.766083451146729,42.96563314562797,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.06627392711263957,31.225977074757726,True,True,True,0.1786254932177822,1.016229217614928,-0.23558817537767995,0.7582107757803259,3.8079077436436544,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.051095346082607795,1.6597576654779433,True,True,True,0.20273002331648016,1.0536670219848063,-0.24942641083376949,0.8127849117453316,8.29203939570093,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.08100400146262432,5.28860049352951,True,True,False
rerisk_rebalance_i25+overlay_0.5x_ema200,"{""bull_overlay"": 0.5, ""bull_overlay_ma_days"": 200, ""bull_overlay_ma_type"": ""ema"", ""rerisk"": true, ""rerisk_inertia"": 0.25}",0.9468617950367051,217,1.0649156552191719,3.0,0.7495145631067961,0.1862613329741527,0.9797540351575041,-0.2775361605351452,0.6711245576612562,39.27258262654846,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.061453814468116263,27.53292655567822,True,True,True,0.17772636371936645,0.9902635672640969,-0.24975156228859263,0.711612620520869,3.772978342571993,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.050196216584192044,1.6248282644062821,True,True,True,0.19474451170738205,0.9812480758438756,-0.2775361605351452,0.7016905881088638,7.573809973239028,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.07301848985352621,4.5703710710676075,True,True,False
rerisk_rebalance_i25+overlay_1x_sma200,"{""bull_overlay"": 1.0, ""bull_overlay_ma_days"": 200, ""rerisk"": true, ""rerisk_inertia"": 0.25}",0.858187534284502,200,1.3825427359309925,3.0,0.7428398058252427,0.18511243580358605,0.8910203540169898,-0.42107339025468604,0.4396203609342801,38.43704761972539,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.06030491729754961,26.697391548855148,True,True,True,0.1771350699330212,0.8713145345358895,-0.42107339025468604,0.42067505103060804,3.7501317624682375,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.049604922797846784,1.6019816843025265,True,True,False,0.19314608401591737,0.9127768272844187,-0.3962995149827151,0.48737401059989083,7.4363108674084835,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.07142006216206154,4.432871965237063,True,True,False
overlay_0.5x_ema300,"{""bull_overlay"": 0.5, ""bull_overlay_ma_days"": 300, ""bull_overlay_ma_type"": ""ema""}",0.9235710652162908,152,1.0504440532937422,3.0,0.777245145631068,0.18427909796870878,0.9519527715402909,-0.2806123774860755,0.6567033842897863,37.841376482702216,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.05947157946267234,26.101720411831973,True,True,True,0.17539335173084236,0.9490041754404759,-0.2806123774860755,0.6250378308403225,3.6834026199273726,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.04786320459566795,1.5352525417616616,True,True,True,0.19304015891613457,0.9621688506183276,-0.27882121206845534,0.6923438768666565,7.427270884170715,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.07131413706227874,4.423831981999295,True,True,False
rerisk_rebalance_i10+research_overlay_0.5x_absmom300,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 0.5, ""research_overlay_days"": 300, ""research_overlay_mode"": ""abs_mom""}",0.9890472587821036,141,1.0510129175411833,3.0,0.7582524271844661,0.18971097049737629,1.0187497721840517,-0.2910552845986094,0.6518039030248299,41.8839906529853,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.06490345199133984,30.144334582115054,True,True,True,0.1750473599744642,0.9801092961340069,-0.2910552845986094,0.6014230602817253,3.670247265975494,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.04751721283928978,1.5220971878097829,True,True,True,0.20314245464819436,1.0557183604714901,-0.24957370872775908,0.8139577509335607,8.330591026548442,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.08141643279433852,5.3271521243770215,True,True,False
rerisk_rebalance_i10+research_overlay_0.5x_absmom252,"{""rerisk"": true, ""rerisk_inertia"": 0.1, ""research_overlay"": 0.5, ""research_overlay_days"": 252, ""research_overlay_mode"": ""abs_mom""}",0.9950822589587837,154,1.0632276006212371,3.0,0.7418082524271845,0.19043152174264422,1.0256895554805865,-0.24986475602786873,0.7621383854608306,42.44947878181653,0.12480751850603644,0.7642826197578884,-0.4509255385902531,11.739656070870243,0.06562400323660778,30.709822710946288,True,True,True,0.17496782070547146,0.9871347648088232,-0.24986475602786873,0.7002501012425953,3.6672276923527285,0.1275301471351744,0.7054957042645205,-0.3813637314369379,2.148150078165711,0.047437673570297045,1.5190776141870175,True,True,True,0.20451286376705857,1.0625901163435119,-0.24325476023731973,0.8407352997636531,8.459744763095877,0.12172602185385584,0.8333394777673826,-0.24176451049203518,3.0034389021714203,0.08278684191320274,5.456305860924457,True,True,False
