symbol,interval,group,variant,start,end,bars,cost_mult,cagr,sharpe,maxdd,calmar,bh_cagr,bh_sharpe,bh_maxdd,excess_cagr,cost3_sharpe,n_trades,avg_leverage,max_leverage,pct_time_in_market,oos_start,oos_cagr,oos_sharpe,oos_maxdd,oos_bh_cagr,oos_bh_sharpe,params
QQQ,1d,etf_equity,no_short,2010-01-04,2026-05-29,4126,1.5,0.0994618494429742,0.8952779226684243,-0.151060894085844,0.6584222213490449,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.09465556290292487,0.8789481771585242,37,0.7844978981072256,1.7626174745494692,0.8463402811439651,2019-11-06,0.12396586421390587,1.0427813890763769,-0.151060894085844,0.2274537962836678,0.9557355254651215,"{""allow_short"": false}"
QQQ,1d,etf_equity,no_rerisk,2010-01-04,2026-05-29,4126,1.5,0.05444831221728785,0.5590928612344628,-0.18723357493519877,0.2908042119909975,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.13966910012861122,0.5461666046717925,39,0.644794870265071,0.9834582315705385,0.9139602520601067,2019-11-06,0.05343542044600258,0.5161175514892142,-0.184316954366183,0.2274537962836678,0.9557355254651215,"{""rerisk"": false}"
QQQ,1d,etf_equity,small_overlay_025,2010-01-04,2026-05-29,4126,1.5,0.06318058915929403,0.6445376885258997,-0.19786085056723068,0.31931829352884566,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.13093682318660504,0.6233046454107838,39,0.6603287332844187,1.7626174745494692,0.9139602520601067,2019-11-06,0.07892493173351411,0.7555584934653876,-0.1514837473373386,0.2274537962836678,0.9557355254651215,"{""bull_overlay"": 0.25}"
QQQ,1d,etf_equity,overlay_ema300_plain,2010-01-04,2026-05-29,4126,1.5,0.07243822209656359,0.6683084104660229,-0.26344758991827966,0.2749625537247603,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.12167919024933549,0.6504136068146845,41,0.7166877348482675,1.7626174745494692,0.9401357246728066,2019-11-06,0.08463466357672211,0.7306969958332697,-0.22533889566188814,0.2274537962836678,0.9557355254651215,"{""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": false}"
QQQ,1d,etf_equity,faster_40_80,2010-01-04,2026-05-29,4126,1.5,0.06178779277706292,0.5835883916678063,-0.25821949543197464,0.23928399625170943,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.13232961956883615,0.5635077931005098,46,0.7340101603121508,1.7626174745494692,0.9122636936500242,2019-11-06,0.10713750114222531,0.891228681092256,-0.17497838303105928,0.2274537962836678,0.9557355254651215,"{""long_entry_days"": 40, ""long_exit_days"": 15, ""short_entry_days"": 80, ""short_exit_days"": 40}"
QQQ,1d,etf_equity,slower_80_150,2010-01-04,2026-05-29,4126,1.5,0.0706537193775405,0.6368339009013724,-0.20207261115609754,0.34964520413388306,0.19411741234589908,0.9658255277241894,-0.3511873136576583,-0.12346369296835857,0.6221797765131917,37,0.7611603915264612,1.7626174745494692,0.8897237033446437,2019-11-06,0.07913988602472033,0.6636484123209111,-0.18510951457246683,0.2274537962836678,0.9557355254651215,"{""long_entry_days"": 80, ""long_exit_days"": 30, ""short_entry_days"": 150, ""short_exit_days"": 75}"
IWM,1d,etf_equity,headline,2010-01-04,2026-05-29,4126,1.5,0.03670961527609684,0.38664955774562226,-0.19212072975705308,0.19107576429944914,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.07475391755657568,0.36724338068373485,55,0.6476045080881035,1.3138918198795548,0.8596703829374697,2019-11-06,0.07366555374582084,0.6903111186726081,-0.16837709831617342,0.1103103896082005,0.5333490910750478,{}
IWM,1d,etf_equity,pure_trend,2010-01-04,2026-05-29,4126,1.5,0.00011731985107621412,0.04765239619603231,-0.22168847012828274,0.0005292104321362566,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.1113462129815963,0.028668046381695886,63,0.6097343226949199,1.3138918198795548,0.5756180319922443,2019-11-06,0.02471781808775808,0.297638932087521,-0.164491094493752,0.1103103896082005,0.5333490910750478,"{""bull_overlay"": 0.0, ""rerisk"": false}"
IWM,1d,etf_equity,lower_risk_3pct,2010-01-04,2026-05-29,4126,1.5,0.033550914452181724,0.44301415632165175,-0.15409651124325308,0.21772663236495374,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.0779126183804908,0.41921249675246824,55,0.4740805347267156,0.992958889256937,0.8596703829374697,2019-11-06,0.058707072012518235,0.7011611270225288,-0.14207667306310823,0.1103103896082005,0.5333490910750478,"{""risk_pct_per_trade"": 0.03}"
IWM,1d,etf_equity,no_short,2010-01-04,2026-05-29,4126,1.5,0.030320611062825575,0.3460130840932977,-0.2381518111601436,0.1273163152323737,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.08114292176984694,0.32534757121282376,53,0.6982847058472235,1.3138918198795548,0.7350945225399903,2019-11-06,0.05087656371276039,0.5299222178725331,-0.18594581063465154,0.1103103896082005,0.5333490910750478,"{""allow_short"": false}"
IWM,1d,etf_equity,no_rerisk,2010-01-04,2026-05-29,4126,1.5,0.0273512014801518,0.2971722288070057,-0.22541940610241062,0.12133472425051921,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.08411233135252072,0.28037091071089754,55,0.6220604377803297,1.3138918198795548,0.8596703829374697,2019-11-06,0.06052992684279723,0.5507735748537641,-0.17492472545368598,0.1103103896082005,0.5333490910750478,"{""rerisk"": false}"
IWM,1d,etf_equity,small_overlay_025,2010-01-04,2026-05-29,4126,1.5,0.023385307113933385,0.29297336302658417,-0.17816865214291933,0.13125376901417363,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.08807822571873913,0.2712935815424104,55,0.5407072207457869,1.3138918198795548,0.8596703829374697,2019-11-06,0.05602534130731951,0.6207102621129854,-0.13256022847157156,0.1103103896082005,0.5333490910750478,"{""bull_overlay"": 0.25}"
IWM,1d,etf_equity,overlay_ema300_plain,2010-01-04,2026-05-29,4126,1.5,0.03591006099537353,0.39819949297580115,-0.19667886247461275,0.18258220809065737,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.07555347183729899,0.3785323267243189,57,0.5967025974069681,1.3138918198795548,0.8802714493456132,2019-11-06,0.07266506160785235,0.7258408418132655,-0.1420694555003641,0.1103103896082005,0.5333490910750478,"{""bull_overlay_ma_type"": ""ema"", ""bull_overlay_vol_mult"": false}"
IWM,1d,etf_equity,faster_40_80,2010-01-04,2026-05-29,4126,1.5,0.032858742231452576,0.3503783402310969,-0.2234647960564674,0.14704214181078207,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.07860479060121994,0.32894019073416814,60,0.6402539176222884,1.3138918198795548,0.8853611245758604,2019-11-06,0.06611919377418007,0.6177338317380998,-0.17123909493465406,0.1103103896082005,0.5333490910750478,"{""long_entry_days"": 40, ""long_exit_days"": 15, ""short_entry_days"": 80, ""short_exit_days"": 40}"
IWM,1d,etf_equity,slower_80_150,2010-01-04,2026-05-29,4126,1.5,0.03659217626407529,0.38972902560044204,-0.21652925050020988,0.16899414827115852,0.11146353283267252,0.58702777874543,-0.41133285652693363,-0.07487135656859722,0.37154336915299596,54,0.667799197668142,1.3138918198795548,0.8204071740184198,2019-11-06,0.05386463772511374,0.5359828936152199,-0.14167410748090292,0.1103103896082005,0.5333490910750478,"{""long_entry_days"": 80, ""long_exit_days"": 30, ""short_entry_days"": 150, ""short_exit_days"": 75}"
